,VRSB
1268,20.600000381469727
1269,20.600000381469727
1270,20.600000381469727
1271,20.600000381469727
1272,19.799999237060547
1273,19.799999237060547
1274,19.799999237060547
1275,19.799999237060547
1276,21.0
1277,20.600000381469727
1278,20.600000381469727
1279,20.600000381469727
1280,20.600000381469727
1281,20.600000381469727
1282,20.799999237060547
1283,20.799999237060547
1284,20.799999237060547
1285,21.799999237060547
1286,21.0
1287,21.0
1288,21.0
1289,21.0
1290,21.0
1291,21.0
1292,21.0
1293,22.0
1294,22.0
1295,22.0
1296,23.0
1297,23.0
1298,23.0
1299,23.0
1300,23.0
1301,23.0
1302,23.0
1303,23.0
1304,23.0
1305,23.0
1306,23.0
1307,23.0
1308,23.0
1309,22.799999237060547
1310,22.799999237060547
1311,22.799999237060547
1312,22.799999237060547
1313,22.799999237060547
1314,22.799999237060547
1315,22.799999237060547
1316,22.799999237060547
1317,22.799999237060547
1318,22.799999237060547
1319,22.799999237060547
1320,21.200000762939453
1321,21.200000762939453
1322,19.200000762939453
1323,19.200000762939453
1324,19.200000762939453
1325,19.200000762939453
1326,19.200000762939453
1327,20.0
1328,20.0
1329,20.0
1330,20.399999618530273
1331,20.399999618530273
1332,20.399999618530273
1333,19.0
1334,19.0
1335,19.0
1336,19.0
1337,19.399999618530273
1338,19.399999618530273
1339,19.399999618530273
1340,19.399999618530273
1341,19.399999618530273
1342,19.399999618530273
1343,19.399999618530273
1344,19.399999618530273
1345,19.399999618530273
1346,19.399999618530273
1347,19.399999618530273
1348,21.0
1349,21.0
1350,21.0
1351,21.0
1352,21.0
1353,21.0
1354,21.0
1355,21.0
1356,21.0
1357,21.0
1358,21.0
1359,21.0
1360,21.0
1361,22.399999618530273
1362,21.600000381469727
1363,23.0
1364,21.799999237060547
1365,21.799999237060547
1366,21.799999237060547
1367,21.399999618530273
1368,21.399999618530273
1369,21.399999618530273
1370,21.399999618530273
1371,22.600000381469727
1372,22.600000381469727
1373,22.600000381469727
1374,22.600000381469727
1375,21.0
1376,20.600000381469727
1377,20.600000381469727
1378,20.600000381469727
1379,22.0
1380,21.0
1381,21.200000762939453
1382,21.200000762939453
1383,21.0
1384,21.0
1385,21.0
1386,21.0
1387,22.799999237060547
1388,22.799999237060547
1389,21.0
1390,22.0
1391,22.0
1392,26.600000381469727
1393,24.399999618530273
1394,23.399999618530273
1395,21.799999237060547
1396,24.0
1397,23.600000381469727
1398,24.200000762939453
1399,24.799999237060547
1400,24.0
1401,23.399999618530273
1402,23.0
1403,32.599998474121094
1404,32.599998474121094
1405,38.79999923706055
1406,38.0
1407,35.20000076293945
1408,35.0
1409,33.0
1410,34.20000076293945
1411,33.599998474121094
1412,32.599998474121094
1413,40.0
1414,39.400001525878906
1415,37.400001525878906
1416,36.400001525878906
1417,38.599998474121094
1418,39.0
1419,39.79999923706055
1420,45.20000076293945
1421,40.79999923706055
1422,38.599998474121094
1423,38.400001525878906
1424,38.79999923706055
1425,38.0
1426,38.0
1427,36.20000076293945
1428,36.79999923706055
1429,36.0
1430,38.599998474121094
1431,40.79999923706055
1432,41.20000076293945
1433,41.79999923706055
1434,40.599998474121094
1435,39.599998474121094
1436,42.20000076293945
1437,40.400001525878906
1438,38.400001525878906
1439,38.599998474121094
1440,37.400001525878906
1441,36.20000076293945
1442,36.79999923706055
1443,39.0
1444,38.20000076293945
1445,37.0
1446,37.0
1447,38.0
1448,38.79999923706055
1449,39.400001525878906
1450,39.400001525878906
1451,39.20000076293945
1452,39.20000076293945
1453,38.20000076293945
1454,39.599998474121094
1455,39.599998474121094
1456,36.599998474121094
1457,37.400001525878906
1458,37.400001525878906
1459,36.0
1460,50.0
1461,41.599998474121094
1462,39.0
1463,39.0
1464,38.599998474121094
1465,39.79999923706055
1466,38.400001525878906
1467,38.79999923706055
1468,37.400001525878906
1469,36.79999923706055
1470,36.79999923706055
1471,37.0
1472,38.79999923706055
1473,45.0
1474,44.79999923706055
1475,46.79999923706055
1476,45.400001525878906
1477,45.0
1478,44.0
1479,40.79999923706055
1480,43.20000076293945
