,BLNG
911,2.859999895095825
912,2.799999952316284
913,2.809999942779541
914,2.8499999046325684
915,2.859999895095825
916,2.9000000953674316
917,2.880000114440918
918,2.890000104904175
919,2.799999952316284
920,2.75
921,2.740000009536743
922,2.740000009536743
923,2.740000009536743
924,2.7200000286102295
925,2.690000057220459
926,2.7300000190734863
927,2.740000009536743
928,2.7300000190734863
929,2.7699999809265137
930,2.7100000381469727
931,2.680000066757202
932,2.680000066757202
933,2.640000104904175
934,2.640000104904175
935,2.5899999141693115
936,2.6700000762939453
937,2.7200000286102295
938,2.690000057220459
939,2.640000104904175
940,2.640000104904175
941,2.6700000762939453
942,2.509999990463257
943,2.5199999809265137
944,2.5999999046325684
945,2.5799999237060547
946,2.5199999809265137
947,2.5299999713897705
948,2.559999942779541
949,2.559999942779541
950,2.5
951,2.5
952,2.5
953,2.569999933242798
954,2.5199999809265137
955,2.5799999237060547
956,2.5199999809265137
957,2.5
958,2.5
959,2.5
960,2.5399999618530273
961,2.549999952316284
962,2.8499999046325684
963,2.7899999618530273
964,2.8399999141693115
965,2.9000000953674316
966,3.0999999046325684
967,3.0299999713897705
968,3.049999952316284
969,2.9200000762939453
970,2.940000057220459
971,2.9600000381469727
972,3.0
973,2.950000047683716
974,2.950000047683716
975,2.940000057220459
976,2.9700000286102295
977,3.009999990463257
978,2.9100000858306885
979,2.9000000953674316
980,2.9700000286102295
981,2.940000057220459
982,2.940000057220459
983,3.059999942779541
984,3.0199999809265137
985,3.0299999713897705
986,3.009999990463257
987,3.059999942779541
988,3.0799999237060547
989,3.0199999809265137
990,2.9600000381469727
991,2.890000104904175
992,2.930000066757202
993,3.049999952316284
994,3.0399999618530273
995,3.0
996,2.9800000190734863
997,3.009999990463257
998,2.9700000286102295
999,2.880000114440918
1000,2.630000114440918
1001,2.9700000286102295
1002,2.9200000762939453
1003,2.9000000953674316
1004,2.8499999046325684
1005,2.799999952316284
1006,2.9200000762939453
1007,3.0799999237060547
1008,3.049999952316284
1009,3.0199999809265137
1010,3.1700000762939453
1011,3.1700000762939453
1012,3.140000104904175
1013,3.109999895095825
1014,3.059999942779541
1015,3.0
1016,3.049999952316284
1017,2.950000047683716
1018,3.009999990463257
1019,2.9800000190734863
1020,3.0399999618530273
1021,3.0199999809265137
1022,3.049999952316284
1023,3.049999952316284
1024,3.0199999809265137
1025,3.0
1026,3.0
1027,3.0
1028,2.9800000190734863
1029,3.0399999618530273
1030,3.009999990463257
1031,3.0199999809265137
1032,3.0199999809265137
1033,3.0
1034,3.0199999809265137
1035,3.0299999713897705
1036,2.9800000190734863
1037,3.0299999713897705
1038,2.9800000190734863
1039,2.9800000190734863
1040,2.940000057220459
1041,2.890000104904175
1042,2.8499999046325684
1043,2.930000066757202
1044,2.930000066757202
1045,2.9100000858306885
1046,2.9000000953674316
1047,2.9000000953674316
1048,2.930000066757202
1049,2.9100000858306885
1050,2.9100000858306885
1051,2.890000104904175
1052,2.9100000858306885
1053,2.890000104904175
1054,2.890000104904175
1055,2.8399999141693115
1056,2.7899999618530273
1057,2.8399999141693115
1058,2.8499999046325684
1059,2.759999990463257
1060,2.7899999618530273
1061,2.8299999237060547
1062,2.819999933242798
1063,2.7699999809265137
1064,2.7699999809265137
1065,2.799999952316284
1066,2.75
1067,2.7799999713897705
1068,2.7300000190734863
1069,2.7300000190734863
1070,2.7899999618530273
1071,2.869999885559082
1072,2.8299999237060547
1073,2.859999895095825
1074,2.8399999141693115
1075,2.8399999141693115
1076,2.8299999237060547
1077,2.809999942779541
1078,2.7899999618530273
1079,2.7699999809265137
1080,2.740000009536743
1081,2.680000066757202
1082,2.7799999713897705
1083,2.740000009536743
1084,2.740000009536743
1085,2.8399999141693115
1086,2.700000047683716
1087,2.700000047683716
1088,2.7300000190734863
1089,2.7200000286102295
1090,2.75
1091,2.799999952316284
1092,2.7799999713897705
1093,2.819999933242798
1094,2.7899999618530273
1095,2.7899999618530273
1096,2.7799999713897705
1097,2.8399999141693115
1098,2.869999885559082
1099,3.0
1100,3.359999895095825
1101,3.4000000953674316
1102,3.450000047683716
1103,3.0799999237060547
1104,2.9200000762939453
1105,2.950000047683716
1106,2.890000104904175
1107,2.9100000858306885
1108,2.990000009536743
